rota_nome,padrao,tipo,cobertura_navegador,evidencias,testes_que_referenciam_rota,limite
hub:legal,/legal/<slug:document>/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-10-dark-1440.png; .playwright-mcp/ui-review/final-public-10-dark-390.png; .playwright-mcp/ui-review/final-public-10-light-1440.png; .playwright-mcp/ui-review/final-public-10-light-390.png; .playwright-mcp/ui-review/final-public-11-dark-1440.png; .playwright-mcp/ui-review/final-public-11-dark-390.png; .playwright-mcp/ui-review/final-public-11-light-1440.png; .playwright-mcp/ui-review/final-public-11-light-390.png,,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:home,/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-0-dark-1440.png; .playwright-mcp/ui-review/final-public-0-dark-390.png; .playwright-mcp/ui-review/final-public-0-light-1440.png; .playwright-mcp/ui-review/final-public-0-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_intelligence_views_django.py; tests/test_regaro_landing_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:demo-entry,/demo/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-3-dark-1440.png; .playwright-mcp/ui-review/final-public-3-dark-390.png; .playwright-mcp/ui-review/final-public-3-light-1440.png; .playwright-mcp/ui-review/final-public-3-light-390.png,tests/test_regaro_landing_django.py; tests/test_seed_demo_django.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:proposal,/proposta/,Tela/estado,Pendente de inspeção específica,,tests/test_public_lead_capture.py; tests/test_regaro_cnpj.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:proposal-cnpj,/proposta/cnpj/,Ação/download/API,Pendente de inspeção específica,,tests/test_regaro_cnpj.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:signup,/comecar/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-2-dark-1440.png; .playwright-mcp/ui-review/final-public-2-dark-390.png; .playwright-mcp/ui-review/final-public-2-light-1440.png; .playwright-mcp/ui-review/final-public-2-light-390.png,tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:signup-verify,/comecar/verificar/<str:token>/,Tela/estado,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-9-dark-1440.png; .playwright-mcp/ui-review/final-public-9-dark-390.png; .playwright-mcp/ui-review/final-public-9-light-1440.png; .playwright-mcp/ui-review/final-public-9-light-390.png; .playwright-mcp/ui-review/access-regression.json,,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:activate,/ativar/<str:token>/,Tela/estado,Fluxo local exercitado — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-8-dark-1440.png; .playwright-mcp/ui-review/final-public-8-dark-390.png; .playwright-mcp/ui-review/final-public-8-light-1440.png; .playwright-mcp/ui-review/final-public-8-light-390.png; .playwright-mcp/ui-review/access-regression.json,tests/test_hub_workspace_views_django.py; tests/test_invitation_takeover.py; tests/test_platform_isolation.py; tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:login,/entrar/,Tela/estado,Inspeção visual local — estados na matriz de jornadas,.playwright-mcp/ui-review/final-public-1-dark-1440.png; .playwright-mcp/ui-review/final-public-1-dark-390.png; .playwright-mcp/ui-review/final-public-1-light-1440.png; .playwright-mcp/ui-review/final-public-1-light-390.png,tests/test_hub_workspace_views_django.py; tests/test_open_redirect.py; tests/test_regaro_auth_flow.py,Referência em teste não equivale a inspeção visual nem homologação externa.
hub:logout,/sair/,Ação/download/API,Pendente de inspeção específica,,tests/test_hub_workspace_views_django.py; tests/test_mfa.py,Referência em teste não equivale a inspeção visual nem homologação externa.
