arquivo,revisao,regras_aplicaveis,evidencia,limite
src/apps/hub/static/hub/theme.js,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Teclado; foco; estado; URL; efeitos; carregamento; repetição; movimento; recuperação,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/dctfweb_bulk.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/dctfweb_consult.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/demo_entry.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/guide_detail.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/parcelamentos.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/review_detail.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/theme_picker.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/triage_connections.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/chrome.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica-brand.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica-campaign.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica-scene.js,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Teclado; foco; estado; URL; efeitos; carregamento; repetição; movimento; recuperação,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/components.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/configuration-a11y.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/configuration.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/configuration.js,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Teclado; foco; estado; URL; efeitos; carregamento; repetição; movimento; recuperação,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/context-switcher.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/dte.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/hub.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/hub.js,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Teclado; foco; estado; URL; efeitos; carregamento; repetição; movimento; recuperação,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/integra.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/operations.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json; guides-fixed.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/platform.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica-auth.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica-auth.js,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Teclado; foco; estado; URL; efeitos; carregamento; repetição; movimento; recuperação,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica-landing.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica-plan.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/cica.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/theme.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/static/hub/utility.css,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Tokens; temas; contraste; foco; movimento; responsividade; conteúdo longo; hover; toque,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/activate.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json; access-regression.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/activate_accept.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json; access-regression.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/activate_signin.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json; access-regression.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/activation_invalid.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/auth_base.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/auth_fields.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/base.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/certificates.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/cica_motion.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/companies.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/company_detail.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/dashboard.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/dte_center.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/dte_message_detail.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/forbidden.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/guides_center.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json; guides-fixed.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/home.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/integra_home.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/journey.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/legal.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/login.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/login_locked.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/module_page.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/module_unavailable.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/nfse_center.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/no_office.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/office_activation_pending.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/password_reset_complete.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json; access-regression.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/password_reset_confirm.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json; access-regression.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
src/apps/hub/templates/hub/password_reset_done.html,Auditado contra diretrizes Vercel consultadas em 2026-09-16,Semântica; rótulos; hierarquia; formulários; imagens; navegação; mensagens; conteúdo longo; idioma,local-regression.json; extended-regression.json; details.json; access-regression.json,Ver matriz: nem todo estado desta tela foi renderizado. Arquivo pode conter alterações anteriores à revisão.
